node1,node2,CN,JC,AA,RA,PA
9567,18565,0.0,0.0,0.0,0.0,0.0
266205,13813,0.0,0.0,0.0,0.0,0.0
102307,117909,0.0,0.0,0.0,0.0,0.0
20261,28986,0.9970249163257716,0.0,0.0,0.0,0.0
5193,73067,0.0,0.0,0.0,0.0,0.0
394335,4730,0.0,0.0,0.0,0.0,0.0
195541,64911,0.0,0.0,0.0,0.0,0.0
35144,49716,0.0,0.0,0.0,0.0,0.0
4720,84219,0.9970249163257716,0.0,0.0,0.0,0.0
556,8398,0.0,0.0,0.0,0.0,0.0
370,364727,0.9970249163257716,0.0,0.0,0.0,0.0
15451,58672,0.0,0.0,0.0,0.0,0.0
23159,32324,0.0,0.0,0.0,0.0,0.0
335739,28476,0.0,0.0,0.0,0.0,0.0
511,46860,0.0,0.0,0.0,0.0,0.0
207306,278709,0.9970249163257716,0.0,0.0,0.0,0.0
14588,62358,0.9970249163257716,0.0,0.0,0.0,0.0
98669,162209,0.0,0.0,0.0,0.0,0.0
8988,50288,0.0,0.0,0.0,0.0,0.0
5226,176522,0.0,0.0,0.0,0.0,0.0
9552,11946,0.0,0.0,0.0,0.0,0.0
93333,160058,0.0,0.0,0.0,0.0,0.0
42,139371,0.0,0.0,0.0,0.0,0.0
16358,63793,1.0,0.0,1.0,1.0,0.0
116701,27864,0.9970249163257716,0.0,1.0,1.0,0.0
50219,92153,1.0,0.0,0.0,0.0,0.0
6648,6695,0.9970249163257716,0.0,0.9998140572703608,0.9998140572703608,0.0
7151,7194,0.9970249163257716,0.0,0.0,0.0,0.0
47631,80437,0.9970249163257716,0.0,0.0,0.0,0.0
74178,26079,0.0,0.0,0.0,0.0,0.0
10639,18431,0.0,0.0,0.0,0.0,0.0
20718,28706,0.0,0.0,0.0,0.0,0.0
93066,93330,0.9970249163257716,0.0,0.0,0.0,0.0
316583,354466,1.0,0.0,1.0,1.0,0.0
7394,28390,0.0,0.0,0.0,0.0,0.0
213,313898,0.0,0.0,0.0,0.0,0.0
349,97352,0.0,0.0,0.0,0.0,0.0
277074,50242,0.0,0.0,0.0,0.0,0.0
5011,282559,0.0,0.0,0.0,0.0,0.0
66382,4199,0.0,0.0,0.0,0.0,0.0
76845,13620,0.0,0.0,0.0,0.0,0.0
5226,421673,0.0,0.0,0.0,0.0,0.0
8094,93502,0.9970249163257716,0.0,0.0,0.0,0.0
42172,82825,0.0,0.0,0.0,0.0,0.0
229447,2290,0.9970249163257716,0.0,0.0,0.0,0.0
236788,48551,0.0,0.0,0.0,0.0,0.0
70120,40185,0.0,0.0,0.0,0.0,0.0
75795,13813,0.0,0.0,0.0,0.0,0.0
13813,20385,1.0,0.0,1.0,0.0,1.0
88650,221491,0.0,0.0,0.0,0.0,0.0
11253,27029,0.0,0.0,0.0,0.0,0.0
383,76290,0.0,0.0,0.0,0.0,0.0
8942,9920,0.0,0.0,0.0,0.0,0.0
87782,28913,0.0,0.0,0.0,0.0,0.0
76396,91115,0.0,0.0,0.0,0.0,0.0
71285,56075,0.9970249163257716,0.0,1.0,1.0,0.0
37820,41723,0.0,0.0,0.0,0.0,0.0
5005,114828,0.0,0.0,0.0,0.0,0.0
171,208287,0.0,0.0,0.0,0.0,0.0
98669,27029,0.0,0.0,0.0,0.0,0.0
13618,16143,0.0,0.0,0.0,0.0,0.0
55698,58474,0.0,0.0,0.0,0.0,0.0
383,132404,0.0,0.0,0.0,0.0,1.0
459,58915,0.0,0.0,0.0,0.0,0.0
29081,95881,0.9970249163257716,0.0,0.0,0.0,0.0
14577,121139,0.9970249163257716,0.0,1.0,1.0,0.0
5041,447409,0.0,0.0,0.0,0.0,0.0
202812,20997,0.0,0.0,0.0,0.0,0.0
2288,55786,0.0,0.0,0.0,0.0,0.0
302185,20751,0.0,0.0,0.0,0.0,0.0
36982,7801,0.0,0.0,0.0,0.0,0.0
1837,142114,0.0,0.0,0.0,0.0,0.0
2670,58281,0.9970249163257716,0.0,0.0,0.0,0.0
172169,18431,0.0,0.0,0.0,0.0,0.0
72466,19253,0.0,0.0,0.0,0.0,0.0
6373,433004,0.0,0.0,0.0,0.0,0.0
71277,64911,0.0,0.0,0.0,0.0,0.0
135768,31957,0.0,0.0,0.0,0.0,0.0
165693,87129,0.0,0.0,0.0,0.0,0.0
74036,444973,0.9970249163257716,0.0,0.0,0.0,0.0
6610,19253,0.0,0.0,0.0,0.0,0.0
10179,11597,0.9970249163257716,0.0,0.0,0.0,0.0
349,103148,0.0,0.0,0.0,0.0,0.0
307829,358743,0.0,0.0,0.0,0.0,0.0
5112,18038,0.0,0.0,0.0,0.0,0.0
71782,79521,0.9970249163257716,0.0,0.0,0.0,0.0
5483,10047,0.9970249163257716,0.0,1.0,1.0,0.0
41740,45819,0.9970249163257716,0.0,0.9998140572703608,0.9998140572703608,0.0
